variable,coeficiente,abs_coeficiente
texture_worst,0.5618782253165295,0.5618782253165295
radius_worst,0.5024729909096696,0.5024729909096696
radius_se,0.47485553292361243,0.47485553292361243
concave_points_worst,0.4744417883361983,0.4744417883361983
perimeter_worst,0.46124686710575324,0.46124686710575324
area_worst,0.4594236015923914,0.4594236015923914
concave_points_mean,0.41715024822875607,0.41715024822875607
texture_mean,0.4115310032003948,0.4115310032003948
smoothness_worst,0.40590909146814547,0.40590909146814547
symmetry_worst,0.3926612338936813,0.3926612338936813
concavity_worst,0.39159649136990066,0.39159649136990066
area_se,0.3859827387549843,0.3859827387549843
concavity_mean,0.37927576650952677,0.37927576650952677
radius_mean,0.3630326508039658,0.3630326508039658
area_mean,0.3568105090912523,0.3568105090912523
perimeter_mean,0.35348909884537666,0.35348909884537666
perimeter_se,0.33345362138008044,0.33345362138008044
fractal_dimension_se,-0.2632843780385757,0.2632843780385757
compactness_se,-0.257763730542012,0.257763730542012
fractal_dimension_mean,-0.23147606698700082,0.23147606698700082
smoothness_mean,0.14405640225694794,0.14405640225694794
fractal_dimension_worst,0.13311159558128782,0.13311159558128782
compactness_worst,0.11438061294287853,0.11438061294287853
concave_points_se,0.11199917364860644,0.11199917364860644
symmetry_se,-0.09841176552563434,0.09841176552563434
smoothness_se,0.056707996143101236,0.056707996143101236
symmetry_mean,0.03226931707594916,0.03226931707594916
compactness_mean,-0.027062666941210897,0.027062666941210897
texture_se,-0.02002314745242407,0.02002314745242407
concavity_se,-0.00800282239741348,0.00800282239741348
