modelo,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
SVM,0.9692307692307691,0.02637362637362636,0.9650216450216451,0.04190547743655862,0.9529411764705882,0.029994232432898744,0.9588146225394766,0.03476592409095522,0.9917440660474716,0.011356599087502426
Gradient Boosting,0.9604395604395604,0.01318681318681319,0.9638146167557933,0.022727097968640586,0.9294117647058823,0.02352941176470589,0.9460809076788006,0.017900423810255778,0.9911248710010321,0.007989775789822868
Logistic Regression,0.9648351648351647,0.0175824175824176,0.963982683982684,0.02277961402251386,0.9411764705882353,0.032218973970892135,0.9522348730655026,0.023933306610338864,0.9898864809081527,0.009199209369686889
Random Forest,0.9604395604395604,0.011206636293610506,0.9703571428571429,0.03132592816677911,0.9235294117647059,0.014408763192842228,0.9459734468430121,0.014500315749300456,0.9885448916408668,0.01399157797817683
LDA,0.9516483516483516,0.026556144996911165,0.9806060606060607,0.026389746735851195,0.8882352941176471,0.05998846486579749,0.9312048627828599,0.03862721228694691,0.9874097007223941,0.009662220764289317
KNN,0.9516483516483516,0.01644684565614918,0.9745833333333334,0.023511226632776473,0.8941176470588236,0.029994232432898737,0.9323863636363636,0.02320829345763697,0.9832301341589267,0.02266860953198023
Decision Tree,0.9120879120879121,0.020850182374736577,0.8773114290761349,0.053149429987070715,0.8941176470588236,0.029994232432898744,0.8842397029234229,0.02468203488756405,0.9084623323013415,0.018287959444050202
Dummy,0.6263736263736264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
