mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.1641559600830078,0.015346905980013115,0.0054699420928955075,0.00032139456230542094,0.01,2,50,0.8,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 50, 'model__subsample': 0.8}",0.9881320949432405,0.9414344685242517,0.9945820433436533,0.9803921568627452,0.9899380804953559,0.9788957688338493,0.019281544403105637,41,0.9880998452012384,0.9965815273477812,0.987374226006192,0.9901154540763674,0.9905830753353974,0.9905508255933952,0.0032452439622995734
0.1909165382385254,0.024288919127514325,0.006480216979980469,0.0018454537380075552,0.01,2,50,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 50, 'model__subsample': 1.0}",0.9692982456140352,0.9393704850361195,0.9662022703818368,0.9703302373581012,0.9920020639834881,0.9674406604747162,0.01676025762696542,50,0.9826980134158927,0.9933081785345717,0.9802147832817337,0.9817466460268318,0.9879547213622291,0.9851844685242519,0.004824268215127473
0.3181464672088623,0.046693313176697886,0.0065266132354736325,0.0011797012449983359,0.01,2,100,0.8,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.9886480908152735,0.9587203302373581,0.9945820433436532,0.9803921568627451,0.9912280701754386,0.9827141382868938,0.012881307555525193,38,0.9945981682146543,0.998032765737874,0.9910345717234263,0.9946949174406605,0.995452786377709,0.9947626418988648,0.0022405425571573523
0.40203218460083007,0.048126775379685086,0.006535243988037109,0.0011001202391248332,0.01,2,100,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.9886480908152735,0.9530443756449949,0.9925180598555212,0.9796181630546955,0.9909700722394221,0.9809597523219814,0.014655917872702274,39,0.9920504385964912,0.997516769865841,0.9915505675954592,0.9881482198142415,0.9926309339525284,0.9923793859649124,0.0030051257208613355
0.6872500896453857,0.07044283691840761,0.0061169624328613285,0.00020076467353290044,0.01,2,200,0.8,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.9907120743034056,0.9718782249742003,0.9943240454076367,0.9855521155830753,0.9948400412796699,0.9874613003095976,0.008468622596048962,27,0.9967105263157895,0.999548503611971,0.9971297729618164,0.9968395252837978,0.9969362745098039,0.9974329205366358,0.0010666038452147397
0.7779375076293945,0.14219884197457416,0.005947589874267578,0.000954169085428013,0.01,2,200,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.9917440660474717,0.9703302373581011,0.9925180598555211,0.9819401444788443,0.9927760577915377,0.9858617131062951,0.008755828116327864,31,0.9968395252837977,0.9996130030959752,0.9967589009287927,0.9972103973168215,0.9967427760577916,0.9974329205366358,0.0011031768950099832
0.2755744934082031,0.04747059346308093,0.00594635009765625,0.0007338152269370591,0.01,3,50,0.8,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 50, 'model__subsample': 0.8}",0.9912280701754386,0.9533023735810113,0.9932920536635708,0.9840041279669762,0.9969040247678018,0.9837461300309597,0.01579318302274615,35,0.9976941434468525,1.0,0.9970975232198143,0.9969523993808049,0.9962912796697626,0.9976070691434469,0.0012769676193251128
0.24896607398986817,0.023834074370436623,0.0056438446044921875,0.0006553412659073506,0.01,3,50,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 50, 'model__subsample': 1.0}",0.9548503611971103,0.9422084623323013,0.9788441692466461,0.9852941176470589,0.9907120743034057,0.9703818369453044,0.018666930710453382,46,0.998048890608875,0.9999193756449948,0.9915183178534572,0.9967266511867905,0.9949851651186791,0.9962396800825595,0.0028606157417621196
0.3972599506378174,0.011095197321281822,0.005475187301635742,0.00017910111572216788,0.01,3,100,0.8,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.9901960784313726,0.9633642930856553,0.9927760577915377,0.9855521155830753,0.998452012383901,0.9860681114551083,0.012092371793132764,30,0.9983230134158927,1.0,0.9977263931888546,0.9981295149638804,0.9981617647058824,0.9984681372549021,0.0007907436819544073
0.4440526008605957,0.0026025793743718623,0.006148910522460938,0.0013881771404996573,0.01,3,100,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.9876160990712074,0.9434984520123838,0.9914860681114551,0.9865841073271413,0.995356037151703,0.9809081527347783,0.018959601106389622,40,0.9982101393188854,0.9997581269349844,0.9970330237358102,0.9974522703818369,0.9968072755417957,0.9978521671826626,0.0010661649597288462
0.774519681930542,0.013960367108715992,0.005709600448608398,0.0003738581035243561,0.01,3,200,0.8,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.9901960784313726,0.9718782249742002,0.9953560371517027,0.9871001031991744,0.9984520123839009,0.9885964912280703,0.009242521747185716,25,0.9991292569659442,0.9999999999999999,0.9991937564499485,0.9997742518059856,0.9996130030959752,0.9995420536635706,0.0003347765550144413
0.9027258396148682,0.004844831818163452,0.005567741394042969,0.00013386581360597469,0.01,3,200,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.9891640866873065,0.9553663570691434,0.9930340557275542,0.9850361197110422,0.9963880288957688,0.983797729618163,0.014713936924803883,34,0.9991615067079463,1.0,0.9990647574819402,0.9998710010319917,0.9998710010319918,0.999593653250774,0.00039634394983838965
0.3151880741119385,0.0061548158020726385,0.005374479293823242,6.233784650765704e-05,0.01,5,50,0.8,"{'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__n_estimators': 50, 'model__subsample': 0.8}",0.9917440660474717,0.9275025799793601,0.9886480908152735,0.9834881320949432,0.9969040247678019,0.9776573787409701,0.025452565363617136,44,0.9999677502579979,0.9999999999999999,1.0,1.0,0.999967750257998,0.9999871001031991,1.5799082448269433e-05
0.3303936004638672,0.016405712588830175,0.00579380989074707,0.00046599831953832047,0.01,5,50,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__n_estimators': 50, 'model__subsample': 1.0}",0.913828689370485,0.9409184726522187,0.975748194014448,0.9262125902992776,0.987874097007224,0.9489164086687307,0.028454260068213486,54,0.9997903766769866,1.0,0.9992421310629515,0.9998065015479877,0.9993388802889577,0.9996355779153767,0.00029285180817201114
0.6343441963195801,0.011760889205163334,0.0054799079895019535,0.00012487532182596547,0.01,5,100,0.8,"{'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.9927760577915377,0.9241486068111455,0.9891640866873064,0.9855521155830753,0.998968008255934,0.9781217750257998,0.027347975932480482,43,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,4.965068306494546e-17
0.662750244140625,0.01696377550622987,0.005780553817749024,0.00028465974644910553,0.01,5,100,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.9411764705882353,0.9440144478844169,0.9871001031991743,0.9308565531475749,0.9896800825593396,0.9585655314757482,0.02475575902611547,53,0.9996775025799792,1.0,0.9995485036119712,1.0,0.9998548761609908,0.9998161764705882,0.00017886254674743282
1.2808083534240722,0.017372173969113273,0.006081390380859375,0.0004093712237976392,0.01,5,200,0.8,"{'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.9938080495356036,0.9236326109391124,0.9912280701754387,0.9865841073271414,0.998452012383901,0.9787409700722394,0.027820552797885593,42,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.3125593185424804,0.06037156453302597,0.008466720581054688,0.0030035882435839106,0.01,5,200,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.9757481940144479,0.9396284829721361,0.9922600619195048,0.9295665634674922,0.9865841073271414,0.9647574819401443,0.025390772202864068,52,0.9999999999999999,1.0,1.0000000000000002,1.0,1.0,1.0,1.1102230246251565e-16
0.1506291389465332,0.003077343699829778,0.005240392684936523,7.648138029633135e-05,0.05,2,50,0.8,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 50, 'model__subsample': 0.8}",0.9943240454076367,0.9705882352941176,0.9956140350877193,0.9896800825593396,0.9948400412796697,0.9890092879256965,0.009440891508082071,24,0.9980650154798762,0.9998387512899897,0.9984520123839009,0.9984197626418988,0.9979198916408668,0.9985390866873065,0.0006810424739828575
0.16840882301330568,0.003995677415711348,0.005975008010864258,0.0010475199889291653,0.05,2,50,1.0,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 50, 'model__subsample': 1.0}",0.9917440660474716,0.9729102167182663,0.9930340557275542,0.9816821465428276,0.9953560371517027,0.9869453044375647,0.008432389321681864,28,0.9978070175438596,0.9998710010319918,0.9982585139318887,0.9978392672858618,0.9973555211558307,0.9982262641898865,0.0008706235823734457
0.28908395767211914,0.010785975024837099,0.0053958892822265625,0.0002075528151453014,0.05,2,100,0.8,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.9963880288957688,0.9742002063983488,0.9969040247678019,0.9886480908152734,0.9974200206398349,0.9907120743034057,0.008859515389611891,13,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,4.965068306494546e-17
0.32097616195678713,0.0016845615067545548,0.005264425277709961,0.00014520467383537963,0.05,2,100,1.0,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.9948400412796697,0.9734262125902993,0.9958720330237358,0.9855521155830753,0.9969040247678019,0.9893188854489164,0.008918821100851399,23,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.5666243553161621,0.007916310012077682,0.005629587173461914,0.00016769695105991726,0.05,2,200,0.8,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.9963880288957689,0.9700722394220845,0.9994840041279669,0.9912280701754386,0.9979360165118679,0.9910216718266252,0.010836404726190652,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.6366609096527099,0.00788340355500561,0.005562734603881836,0.0002712618592154662,0.05,2,200,1.0,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.9953560371517027,0.9705882352941176,0.9984520123839009,0.9881320949432404,0.9974200206398349,0.9899896800825593,0.01034877286829447,17,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,1.0,7.021666937153402e-17
0.19945621490478516,0.00479692832346269,0.005335760116577148,0.00010592832023873664,0.05,3,50,0.8,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 50, 'model__subsample': 0.8}",0.9927760577915377,0.9739422084623323,0.9979360165118679,0.9855521155830753,0.9974200206398348,0.9895252837977295,0.008969427280759867,21,0.9997742518059856,1.0,0.9997420020639836,0.9999355005159959,0.9995807533539732,0.9998065015479878,0.00014848896327682745
0.23509573936462402,0.009114489891126159,0.0054546833038330075,0.0001246735045309458,0.05,3,50,1.0,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 50, 'model__subsample': 1.0}",0.9896800825593396,0.9754901960784313,0.9953560371517027,0.9855521155830753,0.9963880288957687,0.9884932920536634,0.007596889307648994,26,0.9995162538699691,1.0,0.9995807533539731,0.9999999999999999,0.9999355005159959,0.9998065015479876,0.00021294600127988878
0.38909568786621096,0.01055219411916746,0.005401325225830078,0.00021505511255823389,0.05,3,100,0.8,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.9953560371517028,0.9713622291021672,0.9979360165118678,0.9871001031991744,0.9979360165118679,0.989938080495356,0.010103510137511275,18,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,7.021666937153402e-17
0.450075626373291,0.006052388774323226,0.005503273010253907,0.0002507086529900133,0.05,3,100,1.0,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.9932920536635707,0.9752321981424149,0.9974200206398349,0.9886480908152735,0.9979360165118678,0.9905056759545923,0.008336807194477042,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.8663512706756592,0.026493204778793546,0.005569267272949219,7.511576266364468e-05,0.05,3,200,0.8,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.9953560371517028,0.9736842105263158,1.0,0.9901960784313726,0.9974200206398349,0.9913312693498453,0.009392825802256142,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.9373332977294921,0.053034581349725676,0.007078361511230469,0.0026380670715881634,0.05,3,200,1.0,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.9948400412796697,0.9747162022703818,0.9984520123839009,0.9912280701754386,0.9979360165118679,0.9914344685242517,0.008748222684219924,4,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,7.021666937153402e-17
0.3186681270599365,0.007227165876819013,0.005447530746459961,0.00018804637857656954,0.05,5,50,0.8,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 50, 'model__subsample': 0.8}",0.9932920536635707,0.9465944272445819,0.9922600619195046,0.9850361197110423,0.9979360165118678,0.9830237358101135,0.018677625110243505,37,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,7.021666937153402e-17
0.34270949363708497,0.02103306793311935,0.005607128143310547,0.00017913173409261898,0.05,5,50,1.0,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 50, 'model__subsample': 1.0}",0.97781217750258,0.9481424148606811,0.9865841073271413,0.9300825593395252,0.986326109391125,0.9657894736842104,0.022738153041732566,51,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.6333086490631104,0.016468989028999736,0.005775547027587891,0.0005798951660993102,0.05,5,100,0.8,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.9948400412796697,0.9553663570691434,0.9974200206398349,0.9865841073271414,0.9979360165118679,0.9864293085655313,0.016055350651883946,29,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.66953444480896,0.0384616618720338,0.005963659286499024,0.00044455650243087493,0.05,5,100,1.0,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.990454076367389,0.9553663570691433,0.9948400412796699,0.9313725490196079,0.986842105263158,0.9717750257997935,0.024533745300034084,45,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.4775497436523437,0.1456821834812936,0.006336212158203125,0.0005726898639003485,0.05,5,200,0.8,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.9953560371517027,0.9711042311661506,0.999484004127967,0.9927760577915377,0.9974200206398348,0.9912280701754386,0.010304425937144788,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.5876559257507323,0.17626431939343934,0.006601905822753907,0.0005936723654626449,0.05,5,200,1.0,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.9871001031991744,0.9437564499484004,0.9953560371517028,0.9267285861713106,0.9871001031991744,0.9680082559339525,0.02745563559928889,49,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.20298538208007813,0.025393551211055503,0.010933876037597656,0.009837097195791598,0.1,2,50,0.8,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 50, 'model__subsample': 0.8}",0.9963880288957688,0.9747162022703819,0.9979360165118679,0.9932920536635708,0.9948400412796697,0.9914344685242519,0.008501257100771478,2,0.9999355005159958,1.0,1.0,1.0,1.0,0.9999871001031991,2.579979360168849e-05
0.18402938842773436,0.011100559228949423,0.005670356750488281,0.000228409747191827,0.1,2,50,1.0,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 50, 'model__subsample': 1.0}",0.9948400412796697,0.9729102167182662,0.9963880288957688,0.9876160990712074,0.9969040247678019,0.989731682146543,0.00904745461065172,20,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,4.965068306494546e-17
0.3578180313110352,0.014525137689963472,0.00897808074951172,0.0024828159680990738,0.1,2,100,0.8,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.9963880288957688,0.9705882352941175,0.9989680082559339,0.9938080495356036,0.9963880288957688,0.9912280701754386,0.010448120088398688,8,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,4.965068306494546e-17
0.4102153301239014,0.016575019804923447,0.007006216049194336,0.0007534872593095269,0.1,2,100,1.0,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.9953560371517027,0.9721362229102167,0.998452012383901,0.9891640866873064,0.9974200206398348,0.9905056759545923,0.009733602577957974,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.6605351448059082,0.008466412247152132,0.006226539611816406,0.0001463302065522294,0.1,2,200,0.8,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.9963880288957688,0.9711042311661506,0.9989680082559339,0.9938080495356036,0.9969040247678018,0.9914344685242519,0.010297188592996016,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.7553636074066162,0.0067957298821330735,0.007695293426513672,0.0015786775312284045,0.1,2,200,1.0,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.9958720330237358,0.9721362229102167,1.0,0.9896800825593396,0.9979360165118678,0.991124871001032,0.010102983075765034,11,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,7.021666937153402e-17
0.2542098045349121,0.007639865116302687,0.006715011596679687,0.0005057632925584781,0.1,3,50,0.8,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 50, 'model__subsample': 0.8}",0.9948400412796699,0.967750257997936,0.9984520123839009,0.9932920536635707,0.9963880288957688,0.9901444788441692,0.01132655015350991,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.27572479248046877,0.007268879349432543,0.0060634613037109375,0.0001318079168898412,0.1,3,50,1.0,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 50, 'model__subsample': 1.0}",0.9932920536635707,0.9721362229102166,0.9974200206398349,0.9876160990712074,0.9969040247678018,0.9894736842105262,0.00934850100940624,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.4736776351928711,0.011189132706103796,0.006205606460571289,0.0002266194568166121,0.1,3,100,0.8,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.9958720330237358,0.9711042311661506,0.9994840041279669,0.9932920536635707,0.9969040247678018,0.9913312693498451,0.010306492816302493,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.5281473636627197,0.02399660478079759,0.006487274169921875,0.0008577721254430199,0.1,3,100,1.0,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.9943240454076367,0.9762641898864809,0.9979360165118679,0.9896800825593396,0.9974200206398348,0.9911248710010321,0.007989775789822868,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.9207598686218261,0.012213957372685328,0.0066051483154296875,0.00030205945989209476,0.1,3,200,0.8,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.9963880288957688,0.9705882352941176,0.9989680082559339,0.9932920536635707,0.9969040247678018,0.9912280701754387,0.010478655331553354,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0957640647888183,0.052043497535745775,0.0068969249725341795,0.0007863102485301265,0.1,3,200,1.0,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.9953560371517027,0.977296181630547,0.9989680082559339,0.9896800825593396,0.9979360165118678,0.9918472652218782,0.007956381947325604,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.44062223434448244,0.039817519039650896,0.006648349761962891,0.0008636534766680201,0.1,5,50,0.8,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 50, 'model__subsample': 0.8}",0.9943240454076367,0.9453044375644993,0.9958720330237358,0.9876160990712075,0.998968008255934,0.9844169246646027,0.019905406032824733,33,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.401491641998291,0.032099799581851565,0.0062197685241699215,0.00022606500161459768,0.1,5,50,1.0,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 50, 'model__subsample': 1.0}",0.9894220846233229,0.9491744066047471,0.9927760577915377,0.9282765737874097,0.9876160990712075,0.9694530443756448,0.02599748818263942,48,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.7288655281066895,0.012701439358369229,0.006316089630126953,0.0001695681207611221,0.1,5,100,0.8,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.9948400412796699,0.9453044375644994,0.998968008255934,0.9896800825593395,0.9974200206398349,0.9852425180598555,0.02021650491308302,32,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,4.965068306494546e-17
0.8001278400421142,0.0742961696074407,0.006760263442993164,0.0004184173817024457,0.1,5,100,1.0,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.9927760577915377,0.9455624355005158,0.9958720330237358,0.9262125902992775,0.9876160990712074,0.9696078431372548,0.028327374462634988,47,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.4225689888000488,0.02105665206876785,0.006574487686157227,9.179302312754051e-05,0.1,5,200,0.8,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.9958720330237358,0.9664602683178535,0.9994840041279669,0.9912280701754386,0.9958720330237358,0.9897832817337461,0.011952407020776993,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.2039951801300048,0.228820220874064,0.004868698120117187,0.0014679175248100869,0.1,5,200,1.0,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.9917440660474716,0.9628482972136223,0.9979360165118679,0.9711042311661506,0.9948400412796697,0.9836945304437565,0.01403508771929824,36,1.0,1.0,1.0,1.0,1.0,1.0,0.0
