mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__gamma,param_model__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.013837289810180665,0.0008357898059917867,0.004253005981445313,0.00023401895929987528,0.01,scale,linear,"{'model__C': 0.01, 'model__gamma': 'scale', 'model__kernel': 'linear'}",0.998452012383901,0.9721362229102167,1.0,1.0,0.9979360165118679,0.993704850361197,0.010815746135458333,2,0.994388544891641,0.9987100103199175,0.9934210526315789,0.9939370485036121,0.99296955624355,0.9946852425180598,0.0020682521647647383
0.041251325607299806,0.0034493280770439313,0.00761561393737793,0.0006351729300402422,0.01,scale,rbf,"{'model__C': 0.01, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.9860681114551084,0.9540763673890609,0.9979360165118679,0.9891640866873066,0.9793601651186791,0.9813209494324047,0.014874291439699157,44,0.9807791537667699,0.9898090815273477,0.980327657378741,0.9821336429308565,0.9813596491228069,0.9828818369453043,0.0035159259763881717
0.015763187408447267,0.0020854285153084568,0.004640340805053711,0.0006862111340254551,0.01,auto,linear,"{'model__C': 0.01, 'model__gamma': 'auto', 'model__kernel': 'linear'}",0.998452012383901,0.9721362229102167,1.0,1.0,0.9979360165118679,0.993704850361197,0.010815746135458333,2,0.994388544891641,0.9987100103199175,0.9934210526315789,0.9939370485036121,0.99296955624355,0.9946852425180598,0.0020682521647647383
0.04555039405822754,0.0045807640012989915,0.007189512252807617,0.00026347020033872426,0.01,auto,rbf,"{'model__C': 0.01, 'model__gamma': 'auto', 'model__kernel': 'rbf'}",0.9860681114551084,0.9540763673890609,0.9979360165118679,0.9891640866873066,0.9793601651186791,0.9813209494324047,0.014874291439699157,44,0.9807791537667699,0.9898090815273477,0.980327657378741,0.9821336429308565,0.9813596491228069,0.9828818369453043,0.0035159259763881717
0.013351202011108398,0.0004506239308951588,0.0043259143829345705,0.0003502146536594143,0.01,0.001,linear,"{'model__C': 0.01, 'model__gamma': 0.001, 'model__kernel': 'linear'}",0.998452012383901,0.9721362229102167,1.0,1.0,0.9979360165118679,0.993704850361197,0.010815746135458333,2,0.994388544891641,0.9987100103199175,0.9934210526315789,0.9939370485036121,0.99296955624355,0.9946852425180598,0.0020682521647647383
0.03818612098693848,0.0009966911305328426,0.007422018051147461,0.0002891898211723669,0.01,0.001,rbf,"{'model__C': 0.01, 'model__gamma': 0.001, 'model__kernel': 'rbf'}",0.9845201238390093,0.9638802889576883,0.9984520123839009,0.9938080495356038,0.9891640866873066,0.9859649122807017,0.011979108387781302,32,0.9836171310629516,0.9918408152734778,0.9836171310629516,0.9851973684210527,0.9841653766769866,0.985687564499484,0.0031302789741538073
0.01395726203918457,0.0007101326415358153,0.004408836364746094,0.00030760258371972303,0.01,0.01,linear,"{'model__C': 0.01, 'model__gamma': 0.01, 'model__kernel': 'linear'}",0.998452012383901,0.9721362229102167,1.0,1.0,0.9979360165118679,0.993704850361197,0.010815746135458333,2,0.994388544891641,0.9987100103199175,0.9934210526315789,0.9939370485036121,0.99296955624355,0.9946852425180598,0.0020682521647647383
0.03876056671142578,0.0005168993226121396,0.008204889297485352,0.0015031533059542094,0.01,0.01,rbf,"{'model__C': 0.01, 'model__gamma': 0.01, 'model__kernel': 'rbf'}",0.9824561403508771,0.9597523219814241,0.9974200206398349,0.9922600619195046,0.9845201238390093,0.98328173374613,0.012933290111545676,37,0.9831011351909185,0.9902605779153766,0.9820368937048504,0.9832623839009289,0.9826818885448917,0.9842685758513932,0.0030258027193953343
0.013732719421386718,0.0010631748603474927,0.004495763778686523,0.0006890519445449849,0.01,0.1,linear,"{'model__C': 0.01, 'model__gamma': 0.1, 'model__kernel': 'linear'}",0.998452012383901,0.9721362229102167,1.0,1.0,0.9979360165118679,0.993704850361197,0.010815746135458333,2,0.994388544891641,0.9987100103199175,0.9934210526315789,0.9939370485036121,0.99296955624355,0.9946852425180598,0.0020682521647647383
0.041980314254760745,0.0024116506204313434,0.007795190811157227,0.00037012623004518925,0.01,0.1,rbf,"{'model__C': 0.01, 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.9845201238390093,0.954592363261094,0.9989680082559339,0.9927760577915377,0.9819401444788441,0.9825593395252838,0.015231582850357112,38,0.9860358617131063,0.993421052631579,0.9846813725490197,0.9861003611971104,0.9855521155830754,0.9871581527347782,0.003172260096935616
0.013520479202270508,0.001995834288917442,0.004373931884765625,0.00034357265807945795,0.1,scale,linear,"{'model__C': 0.1, 'model__gamma': 'scale', 'model__kernel': 'linear'}",0.9891640866873064,0.9742002063983488,0.9994840041279669,0.9953560371517027,0.9979360165118679,0.9912280701754386,0.009213091484278893,13,0.9963557791537667,0.9986455108359134,0.9947755417956656,0.9959042827657378,0.9934855521155831,0.9958333333333332,0.0017214717742005667
0.033243322372436525,0.007060826568918816,0.006584978103637696,0.0008087874917219488,0.1,scale,rbf,"{'model__C': 0.1, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.9907120743034056,0.9597523219814241,0.9994840041279669,0.9948400412796697,0.9871001031991744,0.986377708978328,0.013939912836486639,30,0.9885190918472653,0.9941305469556243,0.9867776057791539,0.9881643446852425,0.9866163570691434,0.9888415892672858,0.0027476325960285445
0.012585687637329101,0.0006271564609160402,0.004002189636230469,0.0002057947969469676,0.1,auto,linear,"{'model__C': 0.1, 'model__gamma': 'auto', 'model__kernel': 'linear'}",0.9891640866873064,0.9742002063983488,0.9994840041279669,0.9953560371517027,0.9979360165118679,0.9912280701754386,0.009213091484278893,13,0.9963557791537667,0.9986455108359134,0.9947755417956656,0.9959042827657378,0.9934855521155831,0.9958333333333332,0.0017214717742005667
0.03114805221557617,0.003692659130872473,0.006268835067749024,0.0002301953593185941,0.1,auto,rbf,"{'model__C': 0.1, 'model__gamma': 'auto', 'model__kernel': 'rbf'}",0.9907120743034056,0.9597523219814241,0.9994840041279669,0.9948400412796697,0.9871001031991744,0.986377708978328,0.013939912836486639,30,0.9885190918472653,0.9941305469556243,0.9867776057791539,0.9881643446852425,0.9866163570691434,0.9888415892672858,0.0027476325960285445
0.013418006896972656,0.001054659145416835,0.00469675064086914,0.0009796794656303492,0.1,0.001,linear,"{'model__C': 0.1, 'model__gamma': 0.001, 'model__kernel': 'linear'}",0.9891640866873064,0.9742002063983488,0.9994840041279669,0.9953560371517027,0.9979360165118679,0.9912280701754386,0.009213091484278893,13,0.9963557791537667,0.9986455108359134,0.9947755417956656,0.9959042827657378,0.9934855521155831,0.9958333333333332,0.0017214717742005667
0.038422441482543944,0.00038337566959066496,0.007755422592163086,0.0006291057506498647,0.1,0.001,rbf,"{'model__C': 0.1, 'model__gamma': 0.001, 'model__kernel': 'rbf'}",0.9845201238390093,0.9638802889576883,0.9984520123839009,0.9938080495356038,0.9891640866873066,0.9859649122807017,0.011979108387781302,32,0.9838106295149638,0.9918408152734778,0.9837461300309598,0.9853263673890609,0.9841653766769866,0.9857778637770898,0.0030841951021685315
0.013291025161743164,0.0016743019882324045,0.004182195663452149,0.00021697912034938642,0.1,0.01,linear,"{'model__C': 0.1, 'model__gamma': 0.01, 'model__kernel': 'linear'}",0.9891640866873064,0.9742002063983488,0.9994840041279669,0.9953560371517027,0.9979360165118679,0.9912280701754386,0.009213091484278893,13,0.9963557791537667,0.9986455108359134,0.9947755417956656,0.9959042827657378,0.9934855521155831,0.9958333333333332,0.0017214717742005667
