mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.22659096717834473,0.00673536526929498,0.016515493392944336,0.0013834821287316609,,1,2,100,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.9953560371517028,0.9610423116615067,0.998968008255934,0.990970072239422,0.9963880288957688,0.9885448916408668,0.01399157797817683,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.44377841949462893,0.011259273987479909,0.027028703689575197,0.001149388711373075,,1,2,200,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.9948400412796697,0.957172342621259,0.999484004127967,0.9927760577915377,0.9963880288957688,0.9881320949432405,0.015633908573315904,40,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.1255240440368652,0.028714622586366607,0.06097631454467774,0.0018007130001520169,,1,2,500,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 500}",0.9953560371517028,0.9620743034055728,1.0,0.9927760577915377,0.9958720330237358,0.9892156862745098,0.013766940058330072,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.21902055740356446,0.007086186865976433,0.015676212310791016,0.0008494266424916967,,1,5,100,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.9958720330237358,0.9615583075335398,0.9984520123839009,0.9891640866873065,0.9963880288957688,0.9882868937048503,0.013723550224874528,35,1.0,1.0,1.0,0.9999355005159958,0.9999355005159958,0.9999742002063983,3.159816489662951e-05
0.4569535732269287,0.012250206427270439,0.026692724227905272,0.0011765605366643795,,1,5,200,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.9943240454076367,0.9579463364293085,0.999484004127967,0.9912280701754386,0.9963880288957688,0.987874097007224,0.015203938983994797,52,1.0,1.0,1.0,0.9999355005159959,0.9999355005159958,0.9999742002063984,3.159816489660232e-05
1.0815529823303223,0.02405793241246439,0.05815272331237793,0.0014253718425436667,,1,5,500,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 500}",0.9948400412796697,0.9633642930856553,0.9994840041279669,0.9901960784313726,0.9958720330237357,0.9887512899896802,0.013034999438809322,17,1.0,1.0,1.0,0.9999677502579979,1.0,0.9999935500515995,1.2899896800844246e-05
0.21582450866699218,0.005713538154400966,0.014720392227172852,0.00019667936896115585,,1,10,100,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10, 'model__n_estimators': 100}",0.9953560371517028,0.9680082559339526,0.9984520123839009,0.9891640866873066,0.9958720330237358,0.9893704850361198,0.011108181955873828,4,0.9996130030959752,1.0,0.9995807533539732,0.9995485036119711,0.9996775025799793,0.9996839525283798,0.00016368134082106304
0.43013525009155273,0.00869787117793806,0.026576709747314454,0.0008764890543781927,,1,10,200,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10, 'model__n_estimators': 200}",0.9948400412796697,0.9623323013415893,0.9984520123839009,0.9896800825593395,0.9948400412796699,0.9880288957688339,0.01314888701971603,42,0.9996452528379772,0.9999032507739938,0.9996775025799793,0.9996452528379773,0.9996775025799793,0.9997097523219814,9.781831068177458e-05
1.0729165554046631,0.0028712332187253433,0.06191320419311523,0.0006620460818860529,,1,10,500,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10, 'model__n_estimators': 500}",0.9948400412796697,0.9628482972136223,0.9984520123839009,0.9907120743034056,0.9953560371517028,0.9884416924664603,0.013031730883231667,28,0.9996130030959752,0.9999677502579979,0.9996130030959752,0.9997420020639834,0.9996775025799793,0.9997226522187823,0.00013155365102147012
0.21384782791137696,0.0045059099566237965,0.015068578720092773,0.0003104734449703995,,2,2,100,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.9958720330237358,0.9600103199174406,0.9974200206398348,0.9901960784313726,0.9943240454076367,0.987564499484004,0.013985677611064496,66,0.9998710010319918,1.0,0.9998710010319918,0.9998387512899897,0.9998710010319918,0.999890350877193,5.62293465368971e-05
0.4305711269378662,0.012465585532017548,0.026378822326660157,0.0008116661738710278,,2,2,200,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.9958720330237358,0.956656346749226,0.9984520123839009,0.9917440660474717,0.9953560371517027,0.9876160990712075,0.015627094927939653,60,0.9998710010319918,1.0,0.9999355005159959,0.9998710010319918,0.9998710010319917,0.9999097007223943,5.159958720330482e-05
