modelo,fold_repetition,accuracy,precision,recall_sensibilidad,f1,roc_auc
Logistic Regression,44,0.9649122807017544,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9894179894179893
Logistic Regression,45,0.9469026548672567,0.9736842105263158,0.8809523809523809,0.925,0.988262910798122
Logistic Regression,46,1.0,1.0,1.0,1.0,1.0
Logistic Regression,47,0.9649122807017544,1.0,0.9069767441860465,0.9512195121951219,0.9914837864395676
Logistic Regression,48,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9894179894179894
Logistic Regression,49,0.956140350877193,0.9302325581395349,0.9523809523809523,0.9411764705882353,0.9940476190476191
Logistic Regression,50,0.9911504424778761,0.9767441860465116,1.0,0.9882352941176471,0.9986586183769283
LDA,1,0.9649122807017544,1.0,0.9069767441860465,0.9512195121951219,0.9908286930887651
LDA,2,0.9736842105263158,1.0,0.9302325581395349,0.963855421686747,0.996069439895185
LDA,3,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9986772486772487
LDA,4,0.9385964912280702,1.0,0.8333333333333334,0.9090909090909091,0.9907407407407407
LDA,5,0.9380530973451328,0.972972972972973,0.8571428571428571,0.9113924050632911,0.9812206572769953
LDA,6,0.9385964912280702,0.9736842105263158,0.8604651162790697,0.9135802469135802,0.9950867998689814
LDA,7,0.9298245614035088,0.972972972972973,0.8372093023255814,0.9,0.9561087454962331
LDA,8,0.956140350877193,1.0,0.8809523809523809,0.9367088607594937,0.9986772486772486
LDA,9,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9976851851851851
LDA,10,0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9993293091884642
LDA,11,0.9298245614035088,1.0,0.813953488372093,0.8974358974358975,0.9944317065181788
LDA,12,0.9473684210526315,0.9743589743589743,0.8837209302325582,0.926829268292683,0.9963969865705863
LDA,13,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9596560846560847
LDA,14,0.9649122807017544,1.0,0.9047619047619048,0.95,1.0
LDA,15,0.9734513274336283,1.0,0.9285714285714286,0.9629629629629629,0.9979879275653923
LDA,16,0.9473684210526315,1.0,0.8604651162790697,0.925,0.9914837864395677
LDA,17,0.956140350877193,1.0,0.8837209302325582,0.9382716049382716,0.9934490664919751
LDA,18,0.9298245614035088,1.0,0.8095238095238095,0.8947368421052632,0.9758597883597883
LDA,19,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.9973544973544973
LDA,20,0.9646017699115044,0.975,0.9285714285714286,0.9512195121951219,0.9969818913480886
LDA,21,0.9473684210526315,1.0,0.8604651162790697,0.925,0.9993449066491975
